Semester,Year,Section,Site,PD_Colony,Flag,Bareground,Grass,Yucca,Cactus,Other_Veg,Total_Veg
Fall,2017,MonPM,South,On,8,5,2,3,0,10,15
Fall,2017,TuesPM,South,Off,3,8,9,0,0,5,14
Fall,2017,TuesAM,North,Off,9,6,2,1,0,11,14
Fall,2017,TuesPM,South,Off,6,6,10,1,0,3,14
Fall,2017,WedPM,North,On,1,3,7,0,0,7,14
Fall,2017,ThursAM,South,On,1,6,7,0,0,7,14
Fall,2017,WedPM,South,On,1,12,7,0,0,7,14
Fall,2017,WedAM,South,On,7,8,3,1,0,10,14
Fall,2017,TuesAM,North,Off,3,7,6,1,0,6,13
Fall,2017,TuesPM,South,Off,8,7,7,1,0,5,13
Fall,2017,MonPM,South,Off,2,7,7,2,0,4,13
Fall,2017,WedAM,North,On,10,10,7,0,0,6,13
Fall,2017,WedPM,South,On,5,16,4,0,0,9,13
Fall,2017,ThursPM,North,On,10,9,1,0,0,12,13
Fall,2017,MonPM,South,Off,6,9,3,0,0,9,12
Fall,2017,TuesAM,North,On,7,9,4,0,0,8,12
Fall,2017,MonAM,North,On,7,12,7,0,0,5,12
Fall,2017,TuesPM,North,On,9,8,4,0,0,8,12
Fall,2017,TuesAM,South,On,10,8,0,1,0,11,12
Fall,2017,WedAM,South,On,9,15,1,0,0,10,11
Fall,2017,TuesPM,South,On,4,9,1,0,0,10,11
Fall,2017,TuesPM,South,On,8,5,4,1,0,6,11
Fall,2017,ThursPM,South,Off,3,0,6,0,0,4,10
Fall,2017,ThursPM,South,Off,4,0,9,0,0,1,10
Fall,2017,WedAM,North,Off,3,11,1,0,0,9,10
Fall,2017,WedAM,North,Off,9,5,0,1,0,9,10
Fall,2017,ThursPM,South,On,4,0,1,0,0,9,10
Fall,2017,WedPM,South,On,8,10,0,0,0,10,10
Fall,2017,TuesPM,South,On,3,10,2,0,0,8,10
Fall,2017,WedPM,North,Off,5,4,5,0,0,4,9
Fall,2017,ThursPM,South,Off,4,0,8,0,0,1,9
Fall,2017,ThursPM,South,Off,7,1,4,1,0,4,9
Fall,2017,WedAM,North,On,2,14,6,0,0,3,9
Fall,2017,MonAM,South,On,2,11,1,0,0,8,9
Fall,2017,WedPM,North,Off,5,3,1,1,0,6,8
Fall,2017,WedPM,North,Off,10,2,3,1,0,4,8
Fall,2017,ThursPM,South,Off,1,2,4,2,0,2,8
Fall,2017,TuesAM,North,On,5,12,6,0,0,2,8
Fall,2017,WedPM,South,On,8,12,1,0,0,7,8
Fall,2017,ThursPM,South,On,6,2,1,2,0,5,8
Fall,2017,MonAM,South,On,5,13,0,0,0,7,7
Fall,2017,TuesPM,North,Off,8,17,1,0,0,5,6
Fall,2017,ThursPM,South,On,1,4,2,0,0,4,6
Fall,2017,WedAM,North,On,3,15,2,0,0,4,6
Fall,2017,WedPM,North,On,10,4,0,1,0,5,6
Fall,2017,ThursPM,South,Off,2,5,2,1,0,2,5
Fall,2017,WedPM,North,On,5,5,2,0,0,3,5
Fall,2017,WedPM,North,On,9,1,2,0,0,3,5
Fall,2017,ThursPM,South,On,2,5,2,0,0,3,5
Fall,2017,ThursPM,South,On,7,5,0,1,0,4,5
Fall,2017,WedPM,North,Off,9,6,1,1,0,2,4
Fall,2017,WedPM,North,On,7,6,1,0,0,3,4
Fall,2017,ThursPM,South,On,3,6,1,0,0,3,4
Fall,2017,WedPM,North,Off,0,7,3,0,0,0,3
Fall,2017,WedAM,North,Off,6,6,1,0,0,1,2
Fall,2018,MonAM,NA,Off,7,8,33,0,6,19,58
Fall,2018,ThursPM,North,On,3,10,5,0,0,0,5
Fall,2018,WedsAM,North,On,10,15,0,0,0,5,5
Fall,2018,WedsAM,North,Off,1,18,0,0,0,6,6
Fall,2018,WedsPM,North,On,2,19,0,0,0,6,6
Fall,2018,WedsAM,North,Off,6,13,0,2,0,5,7
Fall,2018,MonPM,North,Off,1,18,3,1,0,3,7
Fall,2018,WedsPM,North,On,3,19,0,0,0,7,7
Fall,2018,WedsAM,North,On,7,17,0,1,0,7,8
Fall,2018,MonPM,North,On,1,16,0,0,0,8,8
Fall,2018,WedsAM,North,Off,4,13,0,1,0,8,9
Fall,2018,WedsPM,North,On,4,17,0,0,0,9,9
Fall,2018,WedsAM,North,Off,8,18,3,1,0,6,10
Fall,2018,MonPM,North,On,2,16,2,0,0,8,10
Fall,2018,MonPM,North,On,2,16,1,0,0,10,11
Fall,2018,ThursPM,North,On,10,10,6,0,0,6,12
Fall,2018,WedsAM,North,On,10,15,0,0,0,12,12
Fall,2018,MonPM,North,Off,5,14,2,1,0,9,12
Fall,2018,MonPM,North,Off,9,15,4,0,0,8,12
Fall,2018,WedsPM,North,On,2,18,0,0,0,12,12
Fall,2018,ThursPM,North,On,8,14,4,0,0,9,13
Fall,2018,ThursPM,North,On,7,18,3,0,0,11,14
Fall,2018,WedsAM,North,On,2,8,4,3,0,7,14
Fall,2018,WedsAM,North,Off,7,9,5,6,0,3,14
Fall,2018,WedsAM,North,On,4,13,3,0,0,12,15
Fall,2018,MonPM,North,On,6,9,2,0,0,13,15
Fall,2018,WedsPM,North,Off,5,17,4,1,0,10,15
Fall,2018,WedsPM,North,Off,8,16,4,0,0,11,15
Fall,2018,WedsPM,North,Off,1,16,0,2,0,14,16
Fall,2018,MonPM,North,On,10,8,0,0,0,17,17
Fall,2018,ThursAM,North,On,6,12,7,0,0,10,17
Fall,2018,ThursPM,North,Off,9,10,5,4,0,8,17
Fall,2018,WedsAM,North,On,8,15,3,1,0,15,19
Fall,2018,MonPM,North,Off,6,7,0,0,0,19,19
Fall,2018,WedsAM,North,Off,2,12,9,7,0,5,21
Fall,2018,MonPM,North,Off,3,11,9,1,0,11,21
Fall,2018,ThursAM,North,Off,9,4,18,0,0,4,22
Fall,2018,ThursPM,North,Off,3,16,12,1,0,10,23
Fall,2018,ThursPM,North,Off,10,1,14,2,0,10,26
Fall,2018,ThursPM,North,Off,5,6,10,6,0,13,29
Fall,2018,ThursPM,North,Off,1,5,13,3,0,13,29
Fall,2018,WedsPM,North,On,6,16,25,0,0,15,40
Fall,2018,WedsPM,North,Off,9,3,90,1,0,10,101
Fall,2018,ThursPM,North,On,2,9,4,1,1,15,21
Fall,2018,WedsPM,North,Off,9,19,0,1,0,6,7
Fall,2018,WedsPM,North,Off,5,19,0,1,0,6,7
Fall,2018,WedsPM,North,On,5,18,0,0,0,9,9
Fall,2018,WedsPM,North,Off,2,16,1,1,0,17,19
Fall,2018,TuesPM,South,On,2,18,0,0,0,6,6
Fall,2018,TuesPM,South,On,5,20,1,0,0,5,6
Fall,2018,TuesPM,South,On,1,13,0,3,0,4,7
Fall,2018,ThursPM,South,On,2,12,0,0,0,8,8
Fall,2018,TuesPM,South,On,8,18,0,0,0,8,8
Fall,2018,TuesPM,South,On,3,18,2,0,0,9,11
Fall,2018,NA,South,On,4,10,4,1,0,7,12
Fall,2018,WedsAM,South,On,4,10,1,0,0,11,12
Fall,2018,TuesPM,South,On,1,18,5,0,0,7,12
Fall,2018,TuesPM,South,On,3,19,4,0,0,8,12
Fall,2018,TuesAM,South,On,4,18,0,2,0,11,13
Fall,2018,ThursAM,South,On,7,7,2,1,0,10,13
fall,2018,ThursAM,South,On,7,18,9,0,0,4,13
Fall,2018,TuesAM,South,On,1,20,6,0,0,7,13
Fall,2018,TuesAM,South,On,9,9,1,0,0,12,13
Fall,2018,TuesPM,South,On,8,14,4,0,0,10,14
Fall,2018,WedsPM,South,On,1,12,3,3,0,8,14
Fall,2018,ThursPM,South,Off,5,6,10,1,0,3,14
Fall,2018,ThursPM,South,On,10,18,6,0,0,8,14
Fall,2018,TuesAM,South,On,8,20,4,0,0,10,14
Fall,2018,TuesPM,South,On,4,20,1,0,0,14,15
Fall,2018,ThursPM,South,On,10,20,7,0,0,8,15
Fall,2018,TuesAM,South,On,8,15,11,2,0,2,15
Fall,2018,MonAM,South,On,8,15,4,1,0,11,16
Fall,2018,TuesPM,South,On,3,18,4,1,0,11,16
Fall,2018,MonPM,South,On,3,10,6,0,0,10,16
Fall,2018,ThursAM,South,On,1,20,1,0,0,15,16
Fall,2018,TuesPM,South,On,1,6,4,2,0,11,17
Fall,2018,ThursAM,South,On,5,14,8,0,0,9,17
Fall,2018,MonPM,South,Off,9,8,14,1,0,2,17
Fall,2018,TuesAM,South,On,9,9,2,2,0,13,17
Fall,2018,TuesAM,South,On,9,14,6,0,0,11,17
Fall,2018,ThursAM,South,On,7,16,10,0,0,8,18
Fall,2018,TuesAM,South,On,7,16,9,0,0,10,19
Fall,2018,TuesAM,South,On,3,19,9,0,0,10,19
Fall,2018,TuesPM,South,On,6,11,7,3,0,9,19
Fall,2018,ThursPM,South,On,6,13,2,0,0,17,19
Fall,2018,MonPM,South,On,8,11,9,0,0,10,19
Fall,2018,MonAM,South,Off,10,3,16,0,0,4,20
Fall,2018,TuesAM,South,Off,5,11,10,1,0,9,20
Fall,2018,TuesAM,South,Off,4,16,11,3,0,6,20
Fall,2018,NA,South,Off,4,4,12,0,0,8,20
Fall,2018,TuesPM,South,Off,2,,12,2,0,6,20
Fall,2018,ThursPM,South,Off,9,15,12,0,0,8,20
Fall,2018,ThursAM,South,On,4,11,5,0,0,15,20
Fall,2018,ThursAM,South,Off,7,4,10,3,0,7,20
Fall,2018,ThursAM,South,On,5,16,7,1,0,12,20
Fall,2018,TuesPM,South,On,5,3,4,2,0,16,22
Fall,2018,WedsAM,South,On,6,15,4,4,0,14,22
Fall,2018,TuesPM,South,Off,8,14,9,4,0,9,22
Fall,2018,MonPM,South,On,2,10,11,1,0,10,22
Fall,2018,TuesAM,South,On,7,20,5,0,0,17,22
Fall,2018,TuesAM,South,On,5,8,12,0,0,11,23
Fall,2018,WedsAM,South,On,8,4,0,2,0,21,23
Fall,2018,ThursPM,South,Off,7,11,19,1,0,3,23
Fall,2018,WedsPM,South,On,9,11,12,3,0,8,23
Fall,2018,MonAM,South,On,8,4,10,0,0,14,24
Fall,2018,TuesPM,South,Off,10,14,14,1,0,9,24
Fall,2018,WedsAM,South,On,8,20,9,0,0,15,24
Fall,2018,ThursAM,South,On,5,17,10,2,0,12,24
Fall,2018,TuesAM,South,Off,2,13,15,1,0,9,25
Fall,2018,TuesAM,South,On,9,10,12,1,0,12,25
Fall,2018,TuesPM,South,Off,5,13,17,0,0,8,25
Fall,2018,ThursAM,South,Off,10,7,17,2,0,6,25
Fall,2018,WedsPM,South,On,3,19,17,0,0,8,25
Fall,2018,WedsPM,South,On,2,10,20,0,0,6,26
Fall,2018,ThursAM,South,On,9,14,9,0,0,17,26
Fall,2018,ThursAM,South,On,8,12,14,0,0,12,26
Fall,2018,TuesPM,South,Off,5,11,17,0,0,9,26
Fall,2018,WedsPM,South,Off,9,18,21,1,0,5,27
Fall,2018,TuesAM,South,Off,10,5,17,1,0,10,28
Fall,2018,WedsAM,South,Off,5,3,19,3,0,7,29
Fall,2018,ThursPM,South,On,9,12,16,0,0,14,30
Fall,2018,MonPM,South,On,5,13,22,6,0,3,31
Fall,2018,WedsPM,South,On,5,10,23,0,0,8,31
Fall,2018,WedsPM,South,Off,4,10,13,0,0,19,32
Fall,2018,TuesPM,South,Off,9,1,16,3,0,14,33
Fall,2018,WedsPM,South,On,9,12,16,1,0,16,33
Fall,2018,TuesAM,South,Off,7,16,23,2,0,8,33
Fall,2018,ThursAM,South,On,9,14,14,3,0,18,35
Fall,2018,ThursAM,South,Off,9,14,32,0,0,3,35
Fall,2018,ThursPM,South,On,3,12,29,1,0,6,36
Fall,2018,MonPM,South,Off,2,8,35,3,0,0,38
Fall,2018,MonPM,South,On,2,14,17,0,0,22,39
Fall,2018,WedsAM,South,Off,6,8,9,0,0,30,39
Fall,2018,ThursAM,South,Off,6,11,18,0,0,22,40
Fall,2018,MonPM,South,Off,4,4,36,2,0,3,41
Fall,2018,ThursAM,South,Off,8,9,29,0,0,13,42
Fall,2018,MonPM,South,On,4,15,15,0,0,31,46
Fall,2018,TuesAM,South,Off,8,16,38,0,0,8,46
Fall,2018,TuesAM,South,Off,3,1,24,2,0,21,47
Fall,2018,ThursAM,South,Off,8,0,25,0,0,23,48
Fall,2018,WedsAM,South,Off,3,0,38,2,0,10,50
Fall,2018,MonPM,South,On,10,12,24,0,0,28,52
Fall,2018,TuesAM,South,Off,6,13,40,4,0,22,66
Fall,2018,TuesPM,South,Off,2,16,67,1,0,6,74
Fall,2018,ThursAM,South,On,4,17,10,2,0,20,
Fall,2018,TuesPM,South,Off,6,18,3,4,1,4,12
Fall,2018,TuesPM,South,Off,7,4,11,2,1,4,18
Fall,2018,TuesPM,South,Off,1,5,9,2,1,11,23
Fall,2018,TuesAM,South,Off,9,10,15,0,1,11,27
Fall,2018,TuesPM,South,Off,5,1,17,1,1,9,28
Fall,2018,WedsPM,South,Off,10,9,19,2,1,7,29
Fall,2018,ThursAM,South,Off,4,8,15,4,1,10,30
Fall,2018,TuesAM,South,Off,8,2,16,4,1,12,33
Fall,2018,ThursAM,South,Off,3,12,22,1,1,11,35
Fall,2018,WedsAM,South,Off,3,11,25,2,1,8,36
Fall,2018,TuesAM,South,Off,3,7,24,1,1,11,37
Fall,2018,ThursAM,South,Off,2,7,24,0,1,12,37
Fall,2018,ThursPM,South,Off,10,12,37,1,1,,39
Fall,2018,ThursAM,South,Off,3,3,19,2,1,19,41
Fall,2018,WedsAM,South,Off,1,1,22,1,1,19,43
Fall,2018,WedsPM,South,Off,7,10,41,3,1,5,50
Fall,2018,ThursAM,South,Off,6,7,33,7,1,11,52
Fall,2018,ThursPM,South,Off,4,7,41,2,1,21,65
Fall,2018,ThursPM,South,Off,3,8,58,1,1,13,73
Fall,2018,MonPM,South,Off,6,6,66,6,1,39,112
Fall,2018,TuesPM,South,Off,1,6,10,2,2,2,16
Fall,2018,MonPM,South,Off,8,3,8,4,2,5,19
Fall,2018,WedsPM,South,Off,2,7,16,7,2,18,43
Fall,2018,MonPM,South,Off,2,3,70,5,2,11,88
Fall,2018,TuesAM,South,Off,5,0,30,5,3,15,53
Fall,2018,ThursAM,South,Off,7,9,18,2,4,6,30
Fall,2018,WedsAM,South,Off,7,4,86,5,4,9,104
Fall,2018,WedsAM,South,On,1,2,118,2,12,71,203
Fall,2018,WedsAM,South,On,10,8,0,0,0,13,13
Fall,2018,MonAM,South,On,7,10,2,0,0,10,12
Fall,2018,MonAM,South,On,8,10,4,0,0,8,12
fall,2018,MonAM,South,On,5,18,3,0,0,11,14
Fall,2018,MonAM,South,On,7,10,4,0,0,12,16
Fall,2018,MonAM,South,Off,4,9,4,1,0,11,16
Fall,2018,MonAM,South,On,5,12,5,0,0,12,17
Fall,2018,MonAM,South,Off,5,3,10,2,0,6,18
Fall,2018,MonAM,South,Off,7,11,12,0,0,7,19
Fall,2018,MonAM,South,On,2,7,8,0,0,13,21
Fall,2018,MonAM,South,Off,2,7,16,1,0,5,22
Fall,2018,MonAM,South,On,10,11,11,0,0,13,24
Fall,2018,MonAM,South,Off,4,7,16,1,0,8,25
Fall,2018,MonAM,South,Off,6,0,17,6,0,7,30
Fall,2018,MonAM,South,On,NA,19,9,0,0,24,33
Fall,2018,MonAM,South,On,4,15,21,1,0,15,37
Fall,2018,MonAM,South,Off,1,9,13,0,1,11,25
Fall,2018,MonAM,South,Off,NA,11,29,0,1,17,47
Spring,2018,MonPM,South,Off,3,3,17,8,1,13,39
Spring,2018,TuesPM,South,Off,9,12,17,2,2,14,35
Spring,2018,WedsPM,South,Off,6,2,18,2,0,12,32
Spring,2018,MonPM,South,On,5,6,13,1,0,17,31
Spring,2018,TuesPM,South,Off,3,12,20,3,0,8,31
Spring,2018,TuesPM,South,Off,6,5,18,3,0,10,31
Spring,2018,MonPM,South,Off,4,0,19,2,0,9,30
Spring,2018,TuesAM,South,Off,8,13,17,1,0,12,30
Spring,2018,WedsPM,South,Off,9,6,17,2,1,10,30
Spring,2018,WedsPM,South,On,10,17,17,1,0,12,30
Spring,2018,WedsAM,North,Off,4,4,18,3,1,7,29
Spring,2018,WedsAM,South,Off,3,11,16,1,0,12,29
Spring,2018,WedsPM,South,Off,8,15,16,2,0,11,29
Spring,2018,TuesAM,South,Off,8,0,13,3,2,10,28
Spring,2018,WedsPM,South,On,10,16,14,1,0,13,28
Spring,2018,TuesAM,South,Off,4,4,19,1,2,5,27
Spring,2018,TuesPM,South,On,3,20,13,0,0,14,27
Spring,2018,WedsPM,South,Off,6,2,19,0,0,8,27
Spring,2018,MonPM,South,Off,7,6,18,2,0,6,26
Spring,2018,TuesAM,South,Off,5,6,20,1,1,4,26
Spring,2018,WedsAM,South,On,5,7,0,0,16,10,26
Spring,2018,WedsPM,South,Off,9,4,17,0,0,9,26
Spring,2018,TuesAM,South,On,2,10,10,1,0,14,25
Spring,2018,TuesAM,South,On,6,15,9,1,0,15,25
Spring,2018,WedsPM,South,On,3,16,14,0,0,11,25
Spring,2018,WedsPM,South,On,7,14,10,0,0,15,25
Spring,2018,TuesPM,South,Off,2,5,18,3,0,3,24
Spring,2018,MonPM,South,On,7,14,8,0,0,15,23
Spring,2018,TuesAM,South,Off,9,6,15,1,0,7,23
Spring,2018,TuesAM,South,On,2,15,13,0,0,10,23
Spring,2018,TuesPM,South,Off,6,7,11,4,2,6,23
Spring,2018,TuesPM,South,On,6,16,9,1,0,13,23
Spring,2018,WedsAM,South,Off,3,5,17,3,0,3,23
Spring,2018,WedsAM,South,Off,2,3,16,1,1,5,23
Spring,2018,WedsPM,South,Off,4,3,20,3,0,0,23
Spring,2018,WedsPM,South,On,2,4,17,1,1,4,23
Spring,2018,WedsPM,South,Off,10,4,12,1,0,10,23
Spring,2018,MonPM,South,Off,1,5,17,5,0,0,22
Spring,2018,ThursPM,South,Off,5,8,15,1,0,6,22
Spring,2018,TuesAM,South,On,5,5,1,0,8,13,22
Spring,2018,TuesPM,South,Off,7,14,11,3,0,8,22
Spring,2018,TuesAM,South,On,1,10,8,0,0,13,21
Spring,2018,TuesPM,South,On,9,11,7,2,0,12,21
Spring,2018,WedsPM,South,Off,8,8,14,0,1,6,21
Spring,2018,TuesAM,South,Off,4,10,15,1,1,3,20
Spring,2018,TuesPM,South,Off,7,6,14,0,0,6,20
Spring,2018,TuesPM,South,Off,7,7,12,1,0,7,20
Spring,2018,TuesPM,South,On,5,20,9,0,0,11,20
Spring,2018,TuesPM,South,On,6,18,9,0,0,11,20
Spring,2018,MonAM,South,On,6,10,8,0,0,11,19
Spring,2018,MonPM,South,On,3,13,9,0,0,10,19
Spring,2018,TuesAM,South,Off,6,6,13,2,0,4,19
Spring,2018,TuesAM,South,On,7,12,6,1,0,12,19
Spring,2018,TuesPM,South,On,2,19,6,1,0,12,19
Spring,2018,TuesAM,South,On,3,14,9,0,0,9,18
Spring,2018,TuesPM,South,Off,5,9,11,2,1,4,18
Spring,2018,TuesPM,South,On,5,19,12,1,0,5,18
Spring,2018,TuesPM,South,On,1,19,6,0,0,12,18
Spring,2018,WedsAM,North,Off,7,4,18,0,0,0,18
Spring,2018,WedsAM,South,Off,7,17,3,0,12,3,18
Spring,2018,TuesPM,South,On,8,14,7,0,0,10,17
Spring,2018,WedsPM,South,Off,7,15,12,2,0,3,17
Spring,2018,MonPM,South,Off,9,2,16,0,0,0,16
Spring,2018,TuesAM,South,On,5,16,8,0,0,8,16
Spring,2018,TuesAM,South,Off,8,13,1,1,5,9,16
Spring,2018,TuesPM,South,Off,8,9,12,1,1,2,16
Spring,2018,WedsAM,North,Off,2,5,14,0,0,2,16
Spring,2018,WedsAM,North,Off,9,8,11,1,0,4,16
Spring,2018,WedsAM,South,On,10,7,7,0,0,9,16
Spring,2018,WedsAM,South,On,4,17,5,0,0,11,16
Spring,2018,WedsPM,South,On,9,16,8,1,0,7,16
Spring,2018,WedsPM,South,On,2,16,3,1,0,12,16
Spring,2018,MonPM,South,On,10,12,7,1,0,7,15
Spring,2018,TuesPM,South,On,2,9,5,0,0,10,15
Spring,2018,TuesPM,South,On,4,19,2,1,0,12,15
Spring,2018,WedsAM,South,On,5,20,7,0,0,8,15
Spring,2018,WedsAM,North,On,1,11,7,0,0,7,14
Spring,2018,TuesPM,South,Off,1,12,13,0,0,0,13
Spring,2018,TuesPM,South,On,4,13,3,0,0,10,13
Spring,2018,WedsPM,South,On,3,20,8,0,0,5,13
Spring,2018,WedsPM,South,On,5,7,2,1,0,10,13
Spring,2018,WedsPM,South,On,5,15,1,1,0,11,13
Spring,2018,MonPM,South,On,5,12,2,2,0,7,11
Spring,2018,TuesPM,South,On,4,16,4,0,0,7,11
Spring,2018,WedsAM,North,On,5,6,7,0,0,4,11
Spring,2018,WedsAM,South,On,8,17,3,1,0,7,11
Spring,2018,WedsPM,South,Off,5,13,8,0,0,0,8
Spring,2018,WedsAM,North,On,3,4,4,0,0,2,6
